Dato;Parameter;AverageValue;Layer
2011-04-18;Oxygenmætning;115.2;Surface
2011-04-18;Salinitet;23.19;Bottom
2011-04-18;Salinitet;22.926;Surface
2011-04-18;Temperatur;8.534285714285714;Bottom
2011-04-18;Temperatur;8.751999999999999;Surface
2011-05-02;Oxygen indhold;9.92;Bottom
2011-05-02;Oxygen indhold;10.7;Surface
2011-05-02;Oxygenmætning;109.2;Bottom
2011-05-02;Oxygenmætning;118.0;Surface
2011-05-02;Salinitet;21.194;Bottom
2011-05-02;Salinitet;20.6375;Surface
2011-05-02;Temperatur;13.752;Bottom
2011-05-02;Temperatur;13.785;Surface
2011-05-24;Oxygen indhold;8.74;Bottom
2011-05-24;Oxygen indhold;8.8;Surface
2011-05-24;Oxygenmætning;97.0;Bottom
2011-05-24;Oxygenmætning;98.0;Surface
2011-05-24;Salinitet;24.175;Bottom
2011-05-24;Salinitet;24.17;Surface
2011-05-24;Temperatur;13.3;Bottom
2011-05-24;Temperatur;13.288;Surface
2011-06-08;Oxygen indhold;6.133333333333333;Bottom
2011-06-08;Oxygen indhold;9.649999999999999;Surface
2011-06-08;Oxygenmætning;73.16666666666667;Bottom
2011-06-08;Oxygenmætning;118.5;Surface
2011-06-08;Salinitet;24.093333333333334;Bottom
2011-06-08;Salinitet;22.915;Surface
2011-06-08;Temperatur;15.873333333333335;Bottom
2011-06-08;Temperatur;18.545;Surface
2011-06-14;Oxygen indhold;2.9875000000000003;Bottom
2011-06-14;Oxygen indhold;8.75;Surface
2011-06-14;Oxygenmætning;35.125;Bottom
2011-06-14;Oxygenmætning;103.25;Surface
2011-06-14;Salinitet;25.35375;Bottom
2011-06-14;Salinitet;23.557499999999997;Surface
2011-06-14;Temperatur;15.0925;Bottom
2011-06-14;Temperatur;16.45;Surface
2011-06-20;Oxygen indhold;4.788888888888889;Bottom
2011-06-20;Oxygen indhold;8.9;Surface
2011-06-20;Oxygenmætning;55.888888888888886;Bottom
2011-06-20;Oxygenmætning;104.0;Surface
2011-06-20;Salinitet;25.071111111111108;Bottom
2011-06-20;Salinitet;23.834;Surface
2011-06-20;Temperatur;15.57;Bottom
2011-06-20;Temperatur;15.9;Surface
2011-06-22;Oxygen indhold;5.542857142857143;Bottom
2011-06-22;Oxygen indhold;9.1;Surface
2011-06-22;Oxygenmætning;65.71428571428571;Bottom
2011-06-22;Oxygenmætning;107.5;Surface
2011-06-22;Salinitet;24.919999999999998;Bottom
2011-06-22;Salinitet;24.2675;Surface
2011-06-22;Temperatur;16.03;Bottom
2011-06-22;Temperatur;16.37;Surface
2011-06-27;Oxygen indhold;4.257142857142857;Bottom
2011-06-27;Oxygen indhold;8.549999999999999;Surface
2011-06-27;Oxygenmætning;50.285714285714285;Bottom
2011-06-27;Oxygenmætning;102.0;Surface
2011-06-27;Salinitet;25.020000000000003;Bottom
2011-06-27;Salinitet;24.36;Surface
2011-06-27;Temperatur;16.041428571428572;Bottom
2011-06-27;Temperatur;16.718333333333334;Surface
2011-07-05;Oxygen indhold;5.8125;Bottom
2011-07-05;Oxygen indhold;9.4;Surface
2011-07-05;Oxygenmætning;70.25;Bottom
2011-07-05;Oxygenmætning;114.0;Surface
2011-07-05;Salinitet;24.8125;Bottom
2011-07-05;Salinitet;24.0875;Surface
2011-07-05;Temperatur;16.97375;Bottom
2011-07-05;Temperatur;17.5325;Surface
2011-07-12;Oxygen indhold;1.2;Bottom
2011-07-12;Oxygen indhold;10.2;Surface
2011-07-12;Oxygenmætning;14.571428571428571;Bottom
2011-07-12;Oxygenmætning;124.5;Surface
2011-07-12;Salinitet;27.79;Bottom
2011-07-12;Salinitet;23.836666666666662;Surface
2011-07-12;Temperatur;16.935714285714287;Bottom
2011-07-12;Temperatur;18.161666666666665;Surface
2011-07-19;Oxygen indhold;5.2625;Bottom
2011-07-19;Oxygen indhold;9.7;Surface
2011-07-19;Oxygenmætning;63.875;Bottom
2011-07-19;Oxygenmætning;116.5;Surface
